shot_id,start,end,duration,spoken_passage,chapter,visual_mode,visual_mechanism,continuity_object,transition,caption_restriction,raw_audio_duration
61,388.8,396.8,8.0,"""The 12 Signs of the Zodiac by triplicity, the Northern and Southern constellations, and the seven planets —",VI. Stone and Star,twelvefold,twelvefold,twelvefold wheel,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,7.972
62,396.8,402.675,5.875,each with specific images to be engraved on specific stones for specific effects.,VI. Stone and Star,engraving,engraving,incised line,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,5.839
63,402.675,411.3,8.625,The image of a lion on a carbuncle makes the wearer victorious in battle. The image of a serpent on an agate protects against poison.,VI. Stone and Star,dream_stone,dream stone,dream aperture,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,8.596
64,411.3,417.675,6.375,The image of a woman with a mirror on a beryl reveals hidden things. The images are not decorations.,VI. Stone and Star,mirror_seal,mirror seal,reflective seal,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,6.264
65,417.675,423.05,5.375,"They are the signature of the celestial power that activated the stone at its formation,",IX. The Intermediate Substance,watching_stones,watching stones,stone-eye,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,5.265
66,423.05,428.2,5.15,"re-inscribed by the artisan to call that power forth again.""",IX. The Intermediate Substance,bishop_codex,bishop codex,illuminated folio,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,4.538
67,428.2,436.575,8.375,The image on the stone is a key — not a symbol — reconnecting the stone to the celestial configuration that gave it its power.,IX. The Intermediate Substance,inner_lattice,inner lattice,substantial lattice,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,8.306
68,436.575,443.2,6.625,"You are wearing a fixed point in the heavens, petrified into visibility — not a pretty gem.",VI. Stone and Star,crystal_growth,crystal growth,forming crystal,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,6.505
69,443.2,450.325,7.125,"The 12 signs of the zodiac mapped to the 12 tribes of Israel, the 12 gates of the New Jerusalem,",VI. Stone and Star,twelvefold,twelvefold,twelvefold wheel,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,7.051
70,450.325,458.45,8.125,the 12 edges of the star tetrahedron — the same structure appears at every level because the same pattern organizes,VI. Stone and Star,twelvefold,twelvefold,twelvefold wheel,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,8.003
71,458.45,467.575,9.125,matter at every density. The astrological lapidary is a map of correspondences that extends from the center of the earth to the highest heaven.,VI. Stone and Star,bishop_codex,bishop codex,illuminated folio,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,9.107
72,467.575,473.2,5.625,The stone in your hand and the star in the sky are the same thing at different frequencies.,VI. Stone and Star,stone_star,stone star,frequency thread,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,5.595
73,473.2,482.325,9.125,One of Albert's most remarkable passages describes his field observations — the bishop was also a field geologist who walked,VII. The Bishop in the Mines,bishop_codex,bishop codex,illuminated folio,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,9.041
74,482.325,491.2,8.875,"through the mining districts of Germany: ""I have seen pure gold formed in the sands of rivers, and in our own country both in the Rhine",VII. The Bishop in the Mines,river_gold,river gold,gold grain,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,8.783
75,491.2,498.575,7.375,and the Elbe. I myself have found silver as a sort of vein extending throughout the substance of the stone.,VII. The Bishop in the Mines,river_gold,river gold,gold grain,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,7.303
76,498.575,504.95,6.375,At Freiberg it is sometimes found as soft as a firm mush — the purest and best kind.,VII. The Bishop in the Mines,silver_vein,silver vein,metallic vein,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,6.33
77,504.95,510.575,5.625,I have seen in Swabia a stone upon which more than fifty serpents had collected.,VII. The Bishop in the Mines,serpent_stone,serpent stone,living geology,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,5.563
78,510.575,515.725,5.15,"There is at Cologne, in the shrine of the Three Kings, an onyx of large size,",VII. The Bishop in the Mines,onyx_faces,onyx faces,natural image,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,5.095
79,515.725,522.1,6.375,"having the breadth of a man's hand or more; and on it, upon the material of the onyx stone,",IX. The Intermediate Substance,onyx_faces,onyx faces,natural image,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,6.272
80,522.1,527.25,5.15,"are pictured in pure white the heads of two young men.""",IX. The Intermediate Substance,onyx_faces,onyx faces,natural image,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,3.918
81,527.25,532.5,5.25,Pictures on stones. Silver soft as mush. Gold in river sand.,VII. The Bishop in the Mines,onyx_faces,onyx faces,natural image,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,5.225
82,532.5,538.875,6.375,The bishop saw these things with his own eyes and recorded them with the same care he gave to the,IX. The Intermediate Substance,bishop_codex,bishop codex,illuminated folio,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,6.321
83,538.875,545.875,7.0,theory of substantial forms. The Book of Minerals is both a work of philosophy and a field journal.,III. Form Is Power,bishop_codex,bishop codex,illuminated folio,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,6.971
84,545.875,551.025,5.15,"On transmutation, Albert was cautious but open:",IX. The Intermediate Substance,stone_star,stone star,frequency thread,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,3.954
85,551.025,559.275,8.25,"""Let practitioners of alchemy know that they cannot transmute one form of metal into another, but only make something similar —",VIII. Art Imitates Nature,watching_stones,watching stones,stone-eye,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,8.13
86,559.275,564.425,5.15,as when they colour a red metal with yellow so that it may appear to be gold.,IX. The Intermediate Substance,false_gold,false gold,surface colour,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,4.617
87,564.425,572.925,8.5,Specific forms are not transmuted unless perhaps they are first reduced to prime matter and then developed into the specific,VIII. Art Imitates Nature,prime_matter,prime matter,dark substrate,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,8.403
88,572.925,582.175,9.25,"form of the metal they want. For whatever the elemental and celestial powers produce in natural vessels they also produce in artificial vessels,",VIII. Art Imitates Nature,twin_vessels,twin vessels,paired vessel,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,9.21
89,582.175,587.325,5.15,provided the artificial vessels are formed just like the natural ones.,VIII. Art Imitates Nature,twin_vessels,twin vessels,paired vessel,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,4.802
90,587.325,592.95,5.625,"Art can imitate nature, but it cannot reach the full perfection of nature.""",IX. The Intermediate Substance,watching_stones,watching stones,stone-eye,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,5.514
91,592.95,600.95,8.0,The alchemist creates the conditions under which nature transforms itself — rather than forcing a transformation.,VIII. Art Imitates Nature,bishop_codex,bishop codex,illuminated folio,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,7.908
92,600.95,607.575,6.625,The vessel must be exactly right; the heat must match the sun. Then nature does the work.,VIII. Art Imitates Nature,solar_furnace,solar furnace,measured heat,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,6.609
93,607.575,612.725,5.15,"Albert's book ends with the ""intermediates"" —",IX. The Intermediate Substance,crystal_growth,crystal growth,forming crystal,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,2.927
94,612.725,620.6,7.875,"substances between stones and metals — salts, vitriols, alums, marchasitas, electrum.",IX. The Intermediate Substance,electrum,electrum,double metal,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,7.842
95,620.6,625.75,5.15,These are incomplete substances whose forms remain unfixed:,IX. The Intermediate Substance,unfixed_forms,unfixed forms,mutable lattice,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,4.188
96,625.75,630.9,5.15,"""Electrum is a mixture of gold and silver.",IX. The Intermediate Substance,electrum,electrum,double metal,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,3.312
97,630.9,638.025,7.125,"There are two kinds: one artificial, made by mixing silver and gold; the other a natural mineral,",IX. The Intermediate Substance,inner_lattice,inner lattice,substantial lattice,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,7.125
98,638.025,643.175,5.15,which the ancients declared to be the best of all metals.,IX. The Intermediate Substance,crystal_growth,crystal growth,forming crystal,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,3.855
99,643.175,652.05,8.875,"Salt of Ammon, sal naphticum, Indian salt — all are composed of something earthy, moistened and mixed with something burnt.",IX. The Intermediate Substance,salt_crucible,salt crucible,unfixed salts,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,8.82
100,652.05,658.925,6.875,These intermediary substances are capable of being transmuted because their forms are not fully fixed.,VIII. Art Imitates Nature,watching_stones,watching stones,stone-eye,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,6.762
101,658.925,665.05,6.125,"They are still becoming what they will be."" The intermediates are the matter of the alchemical work.",IX. The Intermediate Substance,unfixed_forms,unfixed forms,mutable lattice,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,6.069
102,665.05,670.425,5.375,They are what must be dissolved and coagulated to produce the completed lapis.,IV. The Marriage of Metals,lapis_birth,lapis birth,completed stone,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,5.296
103,670.425,678.425,8.0,"They are also what you are — still forming, your specific form still settling, capable of becoming something else.",IX. The Intermediate Substance,human_intermediate,human intermediate,unfinished figure,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,7.91
104,678.425,683.575,5.15,The stones know what they are. Their forms are complete.,IX. The Intermediate Substance,stone_star,stone star,frequency thread,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,3.851
105,683.575,690.575,7.0,You are the intermediate substance between what you were and what you will become. The fire is already kindled.,IX. The Intermediate Substance,eternal_fibre,eternal fibre,kindled thread,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,6.887
106,690.575,698.2,7.625,The vessel is prepared. Nature is waiting for you to stop resisting and become what you were always meant to be.,IX. The Intermediate Substance,final_vessel,final vessel,prepared vessel,motif-preserving dissolve or motion handoff,No full narration captions; only brief source term when conceptually necessary.,7.514
