shot_id,start,end,duration,chapter,chapter_title,text,mode,visual_mechanism,continuity_object,transition_in,transition_out,caption,caption_rule
s012,73.103,79.577,6.474558,third,The Ninth Sphere,vision of it in actuality is vouchsafed to the visionary apperception of the active Imagination.,imaginal_figures,imaginal figures,the intermediate domain,continuous motif transformation,preserve the intermediate domain,,No full narration captions; only the listed technical term when motion and negative space permit.
s013,79.577,86.599,7.021859,imagination,The Organ of Perception,"The active Imagination is an organ of perception, like the eye or the ear, tuned to a real world —",active_eye,active eye,the inner eye,continuous motif transformation,preserve the inner eye,active Imagination,No full narration captions; only the listed technical term when motion and negative space permit.
s014,86.599,93.009,6.410023,imagination,The Organ of Perception,ontologically intermediate between matter and spirit — not make-believe in the modern sense.,eye_city,eye city,the inner eye,continuous motif transformation,preserve the inner eye,,No full narration captions; only the listed technical term when motion and negative space permit.
s015,93.009,99.63,6.620635,imagination,The Organ of Perception,"The figures you see in this world are real beings in a real place, beyond the reach of physical eyes.",physical_eyes,physical eyes,the inner eye,continuous motif transformation,preserve the inner eye,,No full narration captions; only the listed technical term when motion and negative space permit.
s016,99.63,107.492,7.861995,north,The Suprasensory Orient,This suprasensory Orient governs the primary phenomenon of the Gnostic's orientation toward his country of origin.,cosmic_compass,cosmic compass,the northward axis,continuous motif transformation,preserve the northward axis,the cosmic north,No full narration captions; only the listed technical term when motion and negative space permit.
s017,107.492,114.611,7.118957,north,The Suprasensory Orient,"The Orient-origin identified with the center, with the heavenly north pole, heralds access to the beyond,",orient_path,orient path,the northward axis,continuous motif transformation,preserve the northward axis,the country of origin,No full narration captions; only the listed technical term when motion and negative space permit.
s018,114.611,123.567,8.956009,north,The Suprasensory Orient,"where vision becomes real history, the history of the soul, and where every visionary event symbolizes a spiritual state; or,",body_spirit_exchange,body spirit exchange,the northward axis,continuous motif transformation,preserve the northward axis,,No full narration captions; only the listed technical term when motion and negative space permit.
s019,123.567,128.717,5.150023,north,The Suprasensory Orient,"as the Ishraqiyun say,",map_home,map home,the northward axis,continuous motif transformation,preserve the northward axis,,No full narration captions; only the listed technical term when motion and negative space permit.
s020,128.717,135.171,6.454014,north,The Suprasensory Orient,it is the climate where what is bodily becomes spirit and what is spiritual acquires a body.,cosmic_compass,cosmic compass,the northward axis,continuous motif transformation,preserve the northward axis,the cosmic north,No full narration captions; only the listed technical term when motion and negative space permit.
s021,135.171,140.321,5.150023,north,The Geography of Home,The imaginal world has its own geography.,orient_path,orient path,the northward axis,continuous motif transformation,preserve the northward axis,the country of origin,No full narration captions; only the listed technical term when motion and negative space permit.
s022,140.321,146.56,6.239637,north,The Geography of Home,"Its north is not the magnetic pole; it is the cosmic north, the direction of origin,",body_spirit_exchange,body spirit exchange,the northward axis,continuous motif transformation,preserve the northward axis,,No full narration captions; only the listed technical term when motion and negative space permit.
s023,146.56,151.71,5.150023,north,The Geography of Home,the place your soul came from before it entered this body.,map_home,map home,the northward axis,continuous motif transformation,preserve the northward axis,,No full narration captions; only the listed technical term when motion and negative space permit.
s024,151.71,156.86,5.150023,north,The Geography of Home,To turn toward the imaginal world is to turn toward home.,cosmic_compass,cosmic compass,the northward axis,continuous motif transformation,preserve the northward axis,the cosmic north,No full narration captions; only the listed technical term when motion and negative space permit.
s025,156.86,163.928,7.067982,north,The Geography of Home,"And in that world, the rules are different: spirit takes on form, and matter becomes luminous.",orient_path,orient path,the northward axis,continuous motif transformation,preserve the northward axis,the country of origin,No full narration captions; only the listed technical term when motion and negative space permit.
s026,163.928,169.435,5.506893,north,The Geography of Home,The two poles of existence that seem so separate here are continuous there.,body_spirit_exchange,body spirit exchange,the northward axis,continuous motif transformation,preserve the northward axis,,No full narration captions; only the listed technical term when motion and negative space permit.
s027,169.435,175.061,5.625986,guide,The Philosopher’s Angel,"It is the heavenly entity, the philosopher's Angel, conjoined with his star,",angel_star,angel star,the personal Guide,continuous motif transformation,preserve the personal Guide,the Perfect Nature,No full narration captions; only the listed technical term when motion and negative space permit.
s028,175.061,181.333,6.272018,guide,The Philosopher’s Angel,"which rules him and opens the doors of wisdom for him, teaches him what is difficult,",wisdom_door,wisdom door,the personal Guide,continuous motif transformation,preserve the personal Guide,,No full narration captions; only the listed technical term when motion and negative space permit.
s029,181.333,186.483,5.150023,guide,The Philosopher’s Angel,"reveals to him what is right, in sleeping as in waking.",sleep_waking,sleep waking,the personal Guide,continuous motif transformation,preserve the personal Guide,sleeping • waking,No full narration captions; only the listed technical term when motion and negative space permit.
s030,186.483,192.197,5.713605,guide,The Perfect Nature,"This is the Perfect Nature — the being that has been with you since before your birth,",person_light,person light,the personal Guide,continuous motif transformation,preserve the personal Guide,shakhs nūrānī,No full narration captions; only the listed technical term when motion and negative space permit.
s031,192.197,197.347,5.149796,guide,The Perfect Nature,the angel that is your personal guide.,angel_star,angel star,the personal Guide,continuous motif transformation,preserve the personal Guide,the Perfect Nature,No full narration captions; only the listed technical term when motion and negative space permit.
s032,197.347,205.006,7.659002,guide,The Perfect Nature,"The Hermetic tradition called it the philosopher's Angel; in the Sufi tradition, it is the shakhs nurani —",wisdom_door,wisdom door,the personal Guide,continuous motif transformation,preserve the personal Guide,,No full narration captions; only the listed technical term when motion and negative space permit.
s033,205.006,210.156,5.150023,guide,The Perfect Nature,the person of light.,sleep_waking,sleep waking,the personal Guide,continuous motif transformation,preserve the personal Guide,sleeping • waking,No full narration captions; only the listed technical term when motion and negative space permit.
s034,210.156,216.819,6.662993,guide,The Perfect Nature,"It is a real being, and you can meet it — neither a symbol nor a psychological projection.",person_light,person light,the personal Guide,continuous motif transformation,preserve the personal Guide,shakhs nūrānī,No full narration captions; only the listed technical term when motion and negative space permit.
s035,216.819,224.897,8.077868,thread,One Times One,"Having cut in two the thread spun by a spider, the prince puts it together again, saying: one times one.",spider_thread,spider thread,the relational filament,continuous motif transformation,preserve the relational filament,,No full narration captions; only the listed technical term when motion and negative space permit.
s036,224.897,230.047,5.150023,thread,One Times One,"This is also the formula that we suggested above,",cut_rejoin,cut rejoin,the relational filament,continuous motif transformation,preserve the relational filament,cut • rejoin,No full narration captions; only the listed technical term when motion and negative space permit.
s037,230.047,237.782,7.735646,thread,One Times One,"because he who deciphers it holds the key to the secret that preserves him both from pseudomystical monism,",formula_one,formula one,the relational filament,continuous motif transformation,preserve the relational filament,1 × 1,No full narration captions; only the listed technical term when motion and negative space permit.
s038,237.782,242.932,5.150023,thread,One Times One,"whose formula is one equals one,",relation_orbit,relation orbit,the relational filament,continuous motif transformation,preserve the relational filament,difference without separation,No full narration captions; only the listed technical term when motion and negative space permit.
s039,242.932,251.732,8.8,thread,One Times One,"and from abstract monotheism which is content to superimpose an Ens supremum on the multitude of beings, n plus one.",spider_thread,spider thread,the relational filament,continuous motif transformation,preserve the relational filament,,No full narration captions; only the listed technical term when motion and negative space permit.
s040,251.732,256.882,5.149932,thread,A Unity Preserving Difference,The one times one formula is Corbin's master key.,cut_rejoin,cut rejoin,the relational filament,continuous motif transformation,preserve the relational filament,cut • rejoin,No full narration captions; only the listed technical term when motion and negative space permit.
s041,256.882,264.291,7.408889,thread,A Unity Preserving Difference,"You and your Guide are not identical, that would be one equals one, the false merger where you lose yourself.",formula_one,formula one,the relational filament,continuous motif transformation,preserve the relational filament,1 × 1,No full narration captions; only the listed technical term when motion and negative space permit.
s042,264.291,270.471,6.18,thread,A Unity Preserving Difference,"You are not separate, that would be n plus one, the distant God who never touches you.",relation_orbit,relation orbit,the relational filament,continuous motif transformation,preserve the relational filament,difference without separation,No full narration captions; only the listed technical term when motion and negative space permit.
s043,270.471,278.138,7.666984,thread,A Unity Preserving Difference,"You are one times one — a unity that preserves difference, a relationship that does not dissolve the partners.",spider_thread,spider thread,the relational filament,continuous motif transformation,preserve the relational filament,,No full narration captions; only the listed technical term when motion and negative space permit.
s044,278.138,285.321,7.182993,thread,A Unity Preserving Difference,"The spider's thread is the apparent barrier between you and the Angel; the prince cuts it and re-joins it,",cut_rejoin,cut rejoin,the relational filament,continuous motif transformation,preserve the relational filament,cut • rejoin,No full narration captions; only the listed technical term when motion and negative space permit.
s045,285.321,290.471,5.149705,thread,A Unity Preserving Difference,showing that separation and union are the same act.,formula_one,formula one,the relational filament,continuous motif transformation,preserve the relational filament,1 × 1,No full narration captions; only the listed technical term when motion and negative space permit.
s046,290.471,297.412,6.940952,faces,The Face of Light,"When the circle of the face has become pure, it effuses lights as a spring pours forth its water.",face_spring,face spring,the line of sight,continuous motif transformation,preserve the line of sight,,No full narration captions; only the listed technical term when motion and negative space permit.
s047,297.412,303.821,6.408889,faces,The Face of Light,"Before you, before your face, there is another Face also of light, irradiating lights.",two_faces,two faces,the line of sight,continuous motif transformation,preserve the line of sight,the other Face,No full narration captions; only the listed technical term when motion and negative space permit.
s048,303.821,309.856,6.035782,faces,The Face of Light,"In reality this Face is your own face and this sun is the sun of the Spirit, shams al-ruh,",spirit_sun,spirit sun,the line of sight,continuous motif transformation,preserve the line of sight,shams al-rūḥ,No full narration captions; only the listed technical term when motion and negative space permit.
s049,309.856,315.006,5.150023,faces,The Face of Light,that goes to and fro in your body.,gaze_relation,gaze relation,the line of sight,continuous motif transformation,preserve the line of sight,the looking is the relationship,No full narration captions; only the listed technical term when motion and negative space permit.
s050,315.006,321.729,6.722993,faces,The Face of Light,"Next, the whole of your person is immersed in purity, and suddenly you are gazing at a person of light,",face_spring,face spring,the line of sight,continuous motif transformation,preserve the line of sight,,No full narration captions; only the listed technical term when motion and negative space permit.
s051,321.729,326.879,5.149751,faces,The Face of Light,"shakhs nurani, who is also irradiating lights.",two_faces,two faces,the line of sight,continuous motif transformation,preserve the line of sight,the other Face,No full narration captions; only the listed technical term when motion and negative space permit.
s052,326.879,334.199,7.319864,faces,The Face of Light,"This person of light before you is called in Sufi terminology the suprasensory Guide, moqaddam al-ghayb.",spirit_sun,spirit sun,the line of sight,continuous motif transformation,preserve the line of sight,shams al-rūḥ,No full narration captions; only the listed technical term when motion and negative space permit.
s053,334.199,341.39,7.19102,faces,Two Faces Looking,"Najm Kobra, the thirteenth-century Sufi master, described the meeting with terrifying precision.",gaze_relation,gaze relation,the line of sight,continuous motif transformation,preserve the line of sight,the looking is the relationship,No full narration captions; only the listed technical term when motion and negative space permit.
s054,341.39,350.026,8.635737,faces,Two Faces Looking,"The face becomes pure and begins to radiate light. Then another face appears — made of light, radiating light.",face_spring,face spring,the line of sight,continuous motif transformation,preserve the line of sight,,No full narration captions; only the listed technical term when motion and negative space permit.
s055,350.026,355.206,5.18,faces,Two Faces Looking,"You realize this face is your own face, but not the one you see in the mirror.",two_faces,two faces,the line of sight,continuous motif transformation,preserve the line of sight,the other Face,No full narration captions; only the listed technical term when motion and negative space permit.
s056,355.206,360.713,5.506984,faces,Two Faces Looking,"It is the face you had before you were born, the face you will have after you die.",spirit_sun,spirit sun,the line of sight,continuous motif transformation,preserve the line of sight,shams al-rūḥ,No full narration captions; only the listed technical term when motion and negative space permit.
s057,360.713,366.246,5.533016,faces,Two Faces Looking,"The two faces look at each other, and the looking itself is the relationship.",gaze_relation,gaze relation,the line of sight,continuous motif transformation,preserve the line of sight,the looking is the relationship,No full narration captions; only the listed technical term when motion and negative space permit.
s058,366.246,373.706,7.46,dhikr,The Fire of Dhikr,"Of all spiritual practices, the dhikr is the practice most apt to free spiritual energy, that is,",name_spiral,name spiral,the ascending Name,continuous motif transformation,preserve the ascending Name,dhikr,No full narration captions; only the listed technical term when motion and negative space permit.
s059,373.706,379.266,5.56,dhikr,The Fire of Dhikr,to allow the particle of divine light which is in the mystic to rejoin its like.,fire_veil,fire veil,the ascending Name,continuous motif transformation,preserve the ascending Name,,No full narration captions; only the listed technical term when motion and negative space permit.
s060,379.266,386.766,7.499864,dhikr,The Fire of Dhikr,"The fire of the dhikr is visualized as a pure and ardent blaze, animated by a rapid upward movement.",light_upon_light,light upon light,the ascending Name,continuous motif transformation,preserve the ascending Name,light upon light,No full narration captions; only the listed technical term when motion and negative space permit.
s061,386.766,393.612,6.846621,dhikr,The Fire of Dhikr,"It sets fire to all that is there to be consumed, and sheds light on any darkness it may encounter.",door_dissolve,door dissolve,the ascending Name,continuous motif transformation,preserve the ascending Name,,No full narration captions; only the listed technical term when motion and negative space permit.
s062,393.612,400.075,6.462993,dhikr,The Fire of Dhikr,"If light is there already, the two lights associate with each other and there is light upon light.",name_spiral,name spiral,the ascending Name,continuous motif transformation,preserve the ascending Name,dhikr,No full narration captions; only the listed technical term when motion and negative space permit.
s063,400.075,407.704,7.628753,dhikr,The Name Becomes the Door,The dhikr — the repetition of divine names — is the technology that opens the door to the imaginal world:,fire_veil,fire veil,the ascending Name,continuous motif transformation,preserve the ascending Name,,No full narration captions; only the listed technical term when motion and negative space permit.
s064,407.704,412.854,5.150023,dhikr,The Name Becomes the Door,"a fire that burns away the obstacles between you and the Person of Light,",light_upon_light,light upon light,the ascending Name,continuous motif transformation,preserve the ascending Name,light upon light,No full narration captions; only the listed technical term when motion and negative space permit.
s065,412.854,418.004,5.149932,dhikr,The Name Becomes the Door,more than a mere tool for concentrating the mind.,door_dissolve,door dissolve,the ascending Name,continuous motif transformation,preserve the ascending Name,,No full narration captions; only the listed technical term when motion and negative space permit.
s066,418.004,423.707,5.702993,dhikr,The Name Becomes the Door,"When the fire meets light in you, the two lights combine: light upon light.",name_spiral,name spiral,the ascending Name,continuous motif transformation,preserve the ascending Name,dhikr,No full narration captions; only the listed technical term when motion and negative space permit.
s067,423.707,428.857,5.149932,dhikr,The Name Becomes the Door,"When it meets darkness, it burns it away.",fire_veil,fire veil,the ascending Name,continuous motif transformation,preserve the ascending Name,,No full narration captions; only the listed technical term when motion and negative space permit.
s068,428.857,437.185,8.328571,dhikr,The Name Becomes the Door,"The dhikr is both the path and the destination — the repetition itself is the ascent, and when it becomes continuous,",light_upon_light,light upon light,the ascending Name,continuous motif transformation,preserve the ascending Name,light upon light,No full narration captions; only the listed technical term when motion and negative space permit.
s069,437.185,443.573,6.387755,dhikr,The Name Becomes the Door,"when the Name is always present in the heart, the door between the worlds dissolves entirely.",door_dissolve,door dissolve,the ascending Name,continuous motif transformation,preserve the ascending Name,,No full narration captions; only the listed technical term when motion and negative space permit.
s070,443.573,450.821,7.247846,daena,The Daena Speaks,"Then who art thou, whose beauty outshines all other beauty ever contemplated in the terrestrial world?",chinvat_bridge,chinvat bridge,the bridge and counterpart,continuous motif transformation,preserve the bridge and counterpart,the Chinvat Bridge,No full narration captions; only the listed technical term when motion and negative space permit.
s071,450.821,456.345,5.523537,daena,The Daena Speaks,"I am thine own Daena. I was loved, thou hast made me more loved still.",daena_figure,daena figure,the bridge and counterpart,continuous motif transformation,preserve the bridge and counterpart,Daena,No full narration captions; only the listed technical term when motion and negative space permit.
s072,456.345,461.495,5.150023,daena,The Daena Speaks,"I was beautiful, thou hast made me still more beautiful.",beauty_growth,beauty growth,the bridge and counterpart,continuous motif transformation,preserve the bridge and counterpart,,No full narration captions; only the listed technical term when motion and negative space permit.
s073,461.495,467.976,6.480998,daena,The Chinvat Bridge,"The Zoroastrian tradition called the Guide the Daena — the soul's own celestial counterpart,",shadow_eternity,shadow eternity,the bridge and counterpart,continuous motif transformation,preserve the bridge and counterpart,history • eternity,No full narration captions; only the listed technical term when motion and negative space permit.
s074,467.976,474.659,6.683628,daena,The Chinvat Bridge,who meets you at the Chinvat Bridge after death. The dialogue is breathtaking: Who art thou?,chinvat_bridge,chinvat bridge,the bridge and counterpart,continuous motif transformation,preserve the bridge and counterpart,the Chinvat Bridge,No full narration captions; only the listed technical term when motion and negative space permit.
s075,474.659,479.809,5.149796,daena,The Chinvat Bridge,"I am your own Daena. I was loved, you made me more loved.",daena_figure,daena figure,the bridge and counterpart,continuous motif transformation,preserve the bridge and counterpart,Daena,No full narration captions; only the listed technical term when motion and negative space permit.
s076,479.809,484.959,5.150023,daena,The Chinvat Bridge,"I was beautiful, you made me more beautiful.",beauty_growth,beauty growth,the bridge and counterpart,continuous motif transformation,preserve the bridge and counterpart,,No full narration captions; only the listed technical term when motion and negative space permit.
s077,484.959,490.709,5.750023,daena,The Chinvat Bridge,The Guide grows as you grow; your work on yourself makes the Angel more beautiful.,shadow_eternity,shadow eternity,the bridge and counterpart,continuous motif transformation,preserve the bridge and counterpart,history • eternity,No full narration captions; only the listed technical term when motion and negative space permit.
s078,490.709,499.368,8.659002,daena,The Chinvat Bridge,"Corbin insists on a crucial distinction: the Guide is your celestial counterpart, while the shadow belongs to your history.",chinvat_bridge,chinvat bridge,the bridge and counterpart,continuous motif transformation,preserve the bridge and counterpart,the Chinvat Bridge,No full narration captions; only the listed technical term when motion and negative space permit.
s079,499.368,506.059,6.690658,daena,The Chinvat Bridge,The dark envelope of the personal unconscious must be burned away before the Person of Light can appear —,daena_figure,daena figure,the bridge and counterpart,continuous motif transformation,preserve the bridge and counterpart,Daena,No full narration captions; only the listed technical term when motion and negative space permit.
s080,506.059,511.209,5.150023,daena,The Chinvat Bridge,"one belongs to your history, the other to your eternity.",beauty_growth,beauty growth,the bridge and counterpart,continuous motif transformation,preserve the bridge and counterpart,,No full narration captions; only the listed technical term when motion and negative space permit.
s081,511.209,517.567,6.358005,recursive,Parent and Child,"Thou, my lord and prince, my most holy angel, my precious spiritual being,",parent_child,parent child,reciprocal generation,continuous motif transformation,preserve reciprocal generation,parent • child,No full narration captions; only the listed technical term when motion and negative space permit.
s082,517.567,524.567,7.000544,recursive,Parent and Child,"Thou art the Spirit who gave birth to me, and Thou art the Child to whom my spirit gives birth.",mutual_birth,mutual birth,reciprocal generation,continuous motif transformation,preserve reciprocal generation,mutual birth,No full narration captions; only the listed technical term when motion and negative space permit.
s083,524.567,529.717,5.149569,recursive,Parent and Child,"Thou who art clothed in the most brilliant of divine Lights,",recursive_halo,recursive halo,reciprocal generation,continuous motif transformation,preserve reciprocal generation,,No full narration captions; only the listed technical term when motion and negative space permit.
s084,529.717,536.974,7.257007,recursive,Parent and Child,"may Thou manifest Thyself to me in the most beautiful of epiphanies, show me the light of Thy dazzling face,",veil_heart,veil heart,reciprocal generation,continuous motif transformation,preserve reciprocal generation,,No full narration captions; only the listed technical term when motion and negative space permit.
s085,536.974,542.124,5.149796,recursive,Parent and Child,"be for me the mediator, lift the veils of darkness from my heart.",parent_child,parent child,reciprocal generation,continuous motif transformation,preserve reciprocal generation,parent • child,No full narration captions; only the listed technical term when motion and negative space permit.
s086,542.124,549.889,7.765578,recursive,Mutual Birth,Sohravardi's psalm to his Perfect Nature reveals the paradoxical relationship at the heart of the imaginal world.,mutual_birth,mutual birth,reciprocal generation,continuous motif transformation,preserve reciprocal generation,mutual birth,No full narration captions; only the listed technical term when motion and negative space permit.
s087,549.889,555.039,5.150023,recursive,Mutual Birth,The Angel is both parent and child.,recursive_halo,recursive halo,reciprocal generation,continuous motif transformation,preserve reciprocal generation,,No full narration captions; only the listed technical term when motion and negative space permit.
s088,555.039,561.849,6.810023,recursive,Mutual Birth,"It gave birth to you, as your celestial origin, and you give birth to it, as your realized Guide.",veil_heart,veil heart,reciprocal generation,continuous motif transformation,preserve reciprocal generation,,No full narration captions; only the listed technical term when motion and negative space permit.
s089,561.849,568.699,6.849887,recursive,Mutual Birth,"The relationship is mutual, recursive, and eternal. You and your Angel create each other.",parent_child,parent child,reciprocal generation,continuous motif transformation,preserve reciprocal generation,parent • child,No full narration captions; only the listed technical term when motion and negative space permit.
s090,568.699,576.474,7.775011,return,A Real World,"The mundus imaginalis is a real world — with its own geography, its own inhabitants, its own laws —",world_geography,world geography,the open door,continuous motif transformation,preserve the open door,a real world,No full narration captions; only the listed technical term when motion and negative space permit.
s091,576.474,581.624,5.14966,return,A Real World,neither a metaphor nor a psychological projection.,trained_eye,trained eye,the open door,continuous motif transformation,preserve the open door,"perception, not fantasy",No full narration captions; only the listed technical term when motion and negative space permit.
s092,581.624,588.558,6.934014,return,A Real World,"You have access to it right now through the active Imagination, which is perception rather than fantasy.",objects_pass,objects pass,the open door,continuous motif transformation,preserve the open door,,No full narration captions; only the listed technical term when motion and negative space permit.
s093,588.558,593.913,5.355011,return,A Real World,"Every time you have felt a presence beyond the physical, seen with the inner eye,",other_eyes,other eyes,the open door,continuous motif transformation,preserve the open door,open the other eyes,No full narration captions; only the listed technical term when motion and negative space permit.
s094,593.913,599.315,5.401995,return,A Real World,or known something without knowing how — you have touched the edge of that world.,world_geography,world geography,the open door,continuous motif transformation,preserve the open door,a real world,No full narration captions; only the listed technical term when motion and negative space permit.
s095,599.315,604.465,5.150023,return,A Method Rather Than a Belief,What Corbin offers is a method rather than a belief system.,trained_eye,trained eye,the open door,continuous motif transformation,preserve the open door,"perception, not fantasy",No full narration captions; only the listed technical term when motion and negative space permit.
s096,604.465,609.679,5.214014,return,A Method Rather Than a Belief,The active Imagination can be trained; the dhikr can be practiced;,objects_pass,objects pass,the open door,continuous motif transformation,preserve the open door,,No full narration captions; only the listed technical term when motion and negative space permit.
s097,609.679,614.828,5.149569,return,A Method Rather Than a Belief,the encounter with the Person of Light can be prepared for.,other_eyes,other eyes,the open door,continuous motif transformation,preserve the open door,open the other eyes,No full narration captions; only the listed technical term when motion and negative space permit.
s098,614.828,619.979,5.150023,return,A Method Rather Than a Belief,"And when it happens, you will not doubt its reality —",world_geography,world geography,the open door,continuous motif transformation,preserve the open door,a real world,No full narration captions; only the listed technical term when motion and negative space permit.
s099,619.979,625.129,5.150023,return,A Method Rather Than a Belief,because the mundus imaginalis is more real than the physical world.,trained_eye,trained eye,the open door,continuous motif transformation,preserve the open door,"perception, not fantasy",No full narration captions; only the listed technical term when motion and negative space permit.
s100,625.129,630.278,5.149569,return,A Method Rather Than a Belief,Physical objects pass away; the Person of Light does not.,objects_pass,objects pass,the open door,continuous motif transformation,preserve the open door,,No full narration captions; only the listed technical term when motion and negative space permit.
s101,630.278,635.428,5.149841,return,The Other Eyes,The door is always open. The Guide is always waiting.,other_eyes,other eyes,the open door,continuous motif transformation,preserve the open door,open the other eyes,No full narration captions; only the listed technical term when motion and negative space permit.
s102,635.428,641.31,5.881995,return,The Other Eyes,The only question is whether you will close your physical eyes and open the other ones.,world_geography,world geography,the open door,continuous motif transformation,preserve the open door,a real world,No full narration captions; only the listed technical term when motion and negative space permit.
